Issue Id,Issue Type,Summary,Description,Acceptance Criteria,Story Points,Priority,Epic Name,Epic Link,Parent Id
US03,Story,[US03] Consulta de Planes de Suscripción y Calculadora MYPE,"Como visitante del segmento dueño de restaurante, deseo consultar los planes tarifarios y calcular el costo según el número de mesas de mi local para evaluar la asequibilidad de la inversión.

Criterios de Aceptación:
**Scenario 1: Visualización transparente de planes**
**Given** que el visitante accede a la sección de precios de la Landing Page,
**When** revisa las alternativas de suscripción mensual,
**Then** se detallan los límites de platos, soporte de IA, generación de códigos QR y acceso a la biblioteca de modelos 3D sin cobros ocultos por plato.

**Scenario 2: Cálculo estimado de inversión**
**Given** que el visitante ingresa el número de platos y mesas de su establecimiento en la calculadora de la página,
**When** solicita el cálculo estimado,
**Then** el sistema recomienda el plan óptimo y resalta el ahorro frente al modelado fotogramétrico tradicional.","**Scenario 1: Visualización transparente de planes**
**Given** que el visitante accede a la sección de precios de la Landing Page,
**When** revisa las alternativas de suscripción mensual,
**Then** se detallan los límites de platos, soporte de IA, generación de códigos QR y acceso a la biblioteca de modelos 3D sin cobros ocultos por plato.

**Scenario 2: Cálculo estimado de inversión**
**Given** que el visitante ingresa el número de platos y mesas de su establecimiento en la calculadora de la página,
**When** solicita el cálculo estimado,
**Then** el sistema recomienda el plan óptimo y resalta el ahorro frente al modelado fotogramétrico tradicional.",3,High,,EP01 - Landing Page & Adquisición de Clientes,EP01
US13,Story,[US13] Acceso Inmediato a Carta Digital sin Registro ni App,"Como comensal en la mesa del restaurante, deseo acceder a la carta digital interactiva inmediatamente al escanear el código QR con mi teléfono móvil sin tener que crear cuentas ni instalar aplicaciones.

Criterios de Aceptación:
**Scenario 1: Escaneo y carga exitosa en navegador**
**Given** que el comensal escanea el código QR de su mesa mediante la aplicación de cámara de su smartphone (iOS o Android),
**When** se abre la URL en el navegador móvil predeterminado,
**Then** la carta del restaurante carga en menos de 2 segundos, mostrando el número de mesa identificada y las categorías del menú sin solicitar autenticación previa.

**Scenario 2: Acceso a mesa no configurada o inactiva**
**Given** que un comensal escanea un código QR deshabilitado o con identificador inválido,
**When** el navegador intenta resolver la dirección web,
**Then** el sistema muestra una pantalla amigable indicando que la mesa no está activa y ofreciendo visualizar el menú general del restaurante.","**Scenario 1: Escaneo y carga exitosa en navegador**
**Given** que el comensal escanea el código QR de su mesa mediante la aplicación de cámara de su smartphone (iOS o Android),
**When** se abre la URL en el navegador móvil predeterminado,
**Then** la carta del restaurante carga en menos de 2 segundos, mostrando el número de mesa identificada y las categorías del menú sin solicitar autenticación previa.

**Scenario 2: Acceso a mesa no configurada o inactiva**
**Given** que un comensal escanea un código QR deshabilitado o con identificador inválido,
**When** el navegador intenta resolver la dirección web,
**Then** el sistema muestra una pantalla amigable indicando que la mesa no está activa y ofreciendo visualizar el menú general del restaurante.",3,High,,EP04 - Experiencia WebAR para Comensales,EP04
US14,Story,[US14] Proyección del Plato en Realidad Aumentada (WebAR) a Escala 1:1,"Como comensal, deseo proyectar el modelo 3D del plato sobre la superficie de mi mesa con dimensiones reales a escala 1:1 para evaluar su presentación y tamaño antes de solicitarlo.

Criterios de Aceptación:
**Scenario 1: Activación de Realidad Aumentada en Android (WebXR / Scene Viewer)**
**Given** que el comensal navega en la carta desde un dispositivo Android compatible con ARCore,
**When** selecciona ""Ver en Realidad Aumentada"" en la ficha de un plato,
**Then** el navegador ejecuta el visor nativo sin aplicaciones intermedias, detecta la superficie horizontal de la mesa y ubica el modelo 3D fotorrealista a escala 1:1.

**Scenario 2: Activación de Realidad Aumentada en iOS (AR Quick Look)**
**Given** que el comensal utiliza un dispositivo iPhone o iPad compatible con ARKit,
**When** activa la visualización en AR,
**Then** iOS despliega el visor AR Quick Look en formato USDZ permitiendo interactuar con el modelo y rotarlo 360 grados sobre el mantel.

**Scenario 3: Dispositivo móvil sin compatibilidad AR**
**Given** que el smartphone del comensal no posee soporte de hardware para Realidad Aumentada,
**When** intenta ingresar a la experiencia AR,
**Then** el sistema activa automáticamente un visor 3D interactivo en pantalla donde puede rotar y hacer zoom sobre el plato en 360°.","**Scenario 1: Activación de Realidad Aumentada en Android (WebXR / Scene Viewer)**
**Given** que el comensal navega en la carta desde un dispositivo Android compatible con ARCore,
**When** selecciona ""Ver en Realidad Aumentada"" en la ficha de un plato,
**Then** el navegador ejecuta el visor nativo sin aplicaciones intermedias, detecta la superficie horizontal de la mesa y ubica el modelo 3D fotorrealista a escala 1:1.

**Scenario 2: Activación de Realidad Aumentada en iOS (AR Quick Look)**
**Given** que el comensal utiliza un dispositivo iPhone o iPad compatible con ARKit,
**When** activa la visualización en AR,
**Then** iOS despliega el visor AR Quick Look en formato USDZ permitiendo interactuar con el modelo y rotarlo 360 grados sobre el mantel.

**Scenario 3: Dispositivo móvil sin compatibilidad AR**
**Given** que el smartphone del comensal no posee soporte de hardware para Realidad Aumentada,
**When** intenta ingresar a la experiencia AR,
**Then** el sistema activa automáticamente un visor 3D interactivo en pantalla donde puede rotar y hacer zoom sobre el plato en 360°.",8,High,,EP04 - Experiencia WebAR para Comensales,EP04
US05,Story,[US05] Carga Fotográfica de Plato para Análisis Automatizado,"Como dueño de restaurante, deseo cargar una fotografía de un plato recién preparado desde la cámara o galería de mi móvil para iniciar el proceso de digitalización con Inteligencia Artificial.

Criterios de Aceptación:
**Scenario 1: Carga de fotografía válida**
**Given** que el administrador tiene una sesión activa en la aplicación y selecciona la opción de registrar plato,
**When** captura o adjunta una fotografía en formato JPEG o PNG con peso menor a 10 MB,
**Then** la imagen se procesa satisfactoriamente y se almacena en el repositorio de activos digitales para su análisis posterior.

**Scenario 2: Formato o tamaño no soportado**
**Given** que el usuario intenta subir un archivo con extensión no admitida o peso superior a 10 MB,
**When** ejecuta la acción de carga,
**Then** el sistema rechaza el archivo y emite una notificación indicando los límites permitidos de formato y peso.","**Scenario 1: Carga de fotografía válida**
**Given** que el administrador tiene una sesión activa en la aplicación y selecciona la opción de registrar plato,
**When** captura o adjunta una fotografía en formato JPEG o PNG con peso menor a 10 MB,
**Then** la imagen se procesa satisfactoriamente y se almacena en el repositorio de activos digitales para su análisis posterior.

**Scenario 2: Formato o tamaño no soportado**
**Given** que el usuario intenta subir un archivo con extensión no admitida o peso superior a 10 MB,
**When** ejecuta la acción de carga,
**Then** el sistema rechaza el archivo y emite una notificación indicando los límites permitidos de formato y peso.",3,High,,EP02 - Catálogo Gastronómico & Análisis con IA,EP02
US06,Story,[US06] Sugerencia Inteligente de Descripción y Categoría con IA,"Como dueño de restaurante, deseo que la plataforma analice la imagen del plato mediante Inteligencia Artificial multimodal para obtener una descripción comercial atractiva y su categoría sugerida en segundos.

Criterios de Aceptación:
**Scenario 1: Inferencia exitosa de descripción**
**Given** que una fotografía gastronómica válida ha sido cargada al sistema,
**When** se invoca el motor de análisis multimodal de Gemini Vision,
**Then** el sistema retorna una propuesta de nombre comercial, categoría sugerida y descripción sensorial de entre 40 y 70 palabras adaptada a la gastronomía local.

**Scenario 2: Fotografía difusa o no gastronómica**
**Given** que el usuario subió una imagen con baja iluminación o sin elementos gastronómicos discernibles,
**When** el motor de IA procesa la imagen y obtiene un nivel de confianza menor al umbral mínimo,
**Then** el sistema solicita amablemente al usuario una nueva toma más clara o la opción de completar los datos de forma manual.","**Scenario 1: Inferencia exitosa de descripción**
**Given** que una fotografía gastronómica válida ha sido cargada al sistema,
**When** se invoca el motor de análisis multimodal de Gemini Vision,
**Then** el sistema retorna una propuesta de nombre comercial, categoría sugerida y descripción sensorial de entre 40 y 70 palabras adaptada a la gastronomía local.

**Scenario 2: Fotografía difusa o no gastronómica**
**Given** que el usuario subió una imagen con baja iluminación o sin elementos gastronómicos discernibles,
**When** el motor de IA procesa la imagen y obtiene un nivel de confianza menor al umbral mínimo,
**Then** el sistema solicita amablemente al usuario una nueva toma más clara o la opción de completar los datos de forma manual.",5,High,,EP02 - Catálogo Gastronómico & Análisis con IA,EP02
US07,Story,[US07] Detección Automática de Ingredientes Clave y Alérgenos,"Como dueño de restaurante, deseo que el sistema identifique los ingredientes principales y marque alérgenos normados a partir de la foto del plato para cumplir con las regulaciones de seguridad alimentaria.

Criterios de Aceptación:
**Scenario 1: Detección y clasificación de alérgenos comunes**
**Given** que la imagen del plato contiene elementos como mariscos, maní, lácteos, huevo o trigo,
**When** finaliza el análisis de ingredientes con IA,
**Then** el sistema preselecciona las etiquetas de alérgenos correspondientes en la ficha del plato y lista los ingredientes principales reconocidos.

**Scenario 2: Sin alérgenos evidentes**
**Given** que el plato corresponde a una preparación libre de alérgenos principales,
**When** concluye el análisis,
**Then** el sistema presenta la lista de ingredientes limpia y deja las casillas de alérgenos desmarcadas para validación del administrador.","**Scenario 1: Detección y clasificación de alérgenos comunes**
**Given** que la imagen del plato contiene elementos como mariscos, maní, lácteos, huevo o trigo,
**When** finaliza el análisis de ingredientes con IA,
**Then** el sistema preselecciona las etiquetas de alérgenos correspondientes en la ficha del plato y lista los ingredientes principales reconocidos.

**Scenario 2: Sin alérgenos evidentes**
**Given** que el plato corresponde a una preparación libre de alérgenos principales,
**When** concluye el análisis,
**Then** el sistema presenta la lista de ingredientes limpia y deja las casillas de alérgenos desmarcadas para validación del administrador.",5,Medium,,EP02 - Catálogo Gastronómico & Análisis con IA,EP02
US10,Story,[US10] Asignación de Modelo 3D a Escala Real desde Biblioteca,"Como dueño de restaurante, deseo vincular un modelo 3D fotorrealista a escala 1:1 desde la biblioteca gastronómica predeterminada de Platter para que el plato disponga de visualización en Realidad Aumentada sin costo adicional de modelado.

Criterios de Aceptación:
**Scenario 1: Asociación automática por categoría**
**Given** que el plato registrado pertenece a una categoría con modelos estándar disponibles (ej. cebiche, lomo saltado, hamburguesa artesanal),
**When** el sistema clasifica el plato,
**Then** vincula por defecto el modelo 3D optimizado (GLB/USDZ) configurado con dimensiones físicas exactas en metros.

**Scenario 2: Selección manual alternativa**
**Given** que el usuario desea asignar una representación 3D diferente a la sugerida,
**When** navega por la galería de modelos gastronómicos y escoge un activo alternativo,
**Then** la asociación se actualiza y la vista previa 3D refleja el nuevo modelo elegido.","**Scenario 1: Asociación automática por categoría**
**Given** que el plato registrado pertenece a una categoría con modelos estándar disponibles (ej. cebiche, lomo saltado, hamburguesa artesanal),
**When** el sistema clasifica el plato,
**Then** vincula por defecto el modelo 3D optimizado (GLB/USDZ) configurado con dimensiones físicas exactas en metros.

**Scenario 2: Selección manual alternativa**
**Given** que el usuario desea asignar una representación 3D diferente a la sugerida,
**When** navega por la galería de modelos gastronómicos y escoge un activo alternativo,
**Then** la asociación se actualiza y la vista previa 3D refleja el nuevo modelo elegido.",3,Medium,,EP02 - Catálogo Gastronómico & Análisis con IA,EP02
US11,Story,[US11] Generación de Códigos QR con Identificador de Mesa,"Como dueño de restaurante, deseo generar códigos QR individuales asociados a cada una de las mesas de mi restaurante para que los comensales accedan de manera contextualizada a la carta digital.

Criterios de Aceptación:
**Scenario 1: Generación masiva por rango de mesas**
**Given** que el administrador ingresa la cantidad de mesas de su salón (ej. Mesas 1 a 20),
**When** solicita la generación de códigos QR,
**Then** el sistema genera identificadores criptográficos únicos vinculados al restaurante y al número de mesa correspondiente, dejándolos listos para consulta y descarga.

**Scenario 2: Incorporación de una nueva mesa**
**Given** que el local amplía su capacidad con una mesa adicional,
**When** el administrador añade la mesa identificada como ""Terraza 01"",
**Then** se genera de forma instantánea el QR respectivo sin alterar los códigos de las mesas previamente existentes.","**Scenario 1: Generación masiva por rango de mesas**
**Given** que el administrador ingresa la cantidad de mesas de su salón (ej. Mesas 1 a 20),
**When** solicita la generación de códigos QR,
**Then** el sistema genera identificadores criptográficos únicos vinculados al restaurante y al número de mesa correspondiente, dejándolos listos para consulta y descarga.

**Scenario 2: Incorporación de una nueva mesa**
**Given** que el local amplía su capacidad con una mesa adicional,
**When** el administrador añade la mesa identificada como ""Terraza 01"",
**Then** se genera de forma instantánea el QR respectivo sin alterar los códigos de las mesas previamente existentes.",3,Medium,,EP03 - Generación & Administración de Códigos QR,EP03
US12,Story,[US12] Descarga de Plantilla de QR en Alta Calidad para Impresión,"Como dueño de restaurante, deseo descargar los códigos QR en un formato gráfico listo para imprenta con el logotipo y nombre de mi negocio para colocarlos en soportes físicos de mesa.

Criterios de Aceptación:
**Scenario 1: Descarga en PDF vectorizado / PNG HD**
**Given** que los códigos QR de las mesas han sido generados,
**When** el usuario selecciona descargar la plantilla de mesas seleccionadas en formato imprimible,
**Then** el sistema descarga un archivo estructurado en alta resolución apto para impresión con instrucciones de escaneo para el comensal.

**Scenario 2: Personalización con marca del restaurante**
**Given** que el restaurante tiene configurado su nombre comercial y logotipo en su perfil,
**When** se genera la plantilla descargable,
**Then** el arte gráfico incorpora dichos distintivos de marca de forma armonizada sobre el código QR.","**Scenario 1: Descarga en PDF vectorizado / PNG HD**
**Given** que los códigos QR de las mesas han sido generados,
**When** el usuario selecciona descargar la plantilla de mesas seleccionadas en formato imprimible,
**Then** el sistema descarga un archivo estructurado en alta resolución apto para impresión con instrucciones de escaneo para el comensal.

**Scenario 2: Personalización con marca del restaurante**
**Given** que el restaurante tiene configurado su nombre comercial y logotipo en su perfil,
**When** se genera la plantilla descargable,
**Then** el arte gráfico incorpora dichos distintivos de marca de forma armonizada sobre el código QR.",2,Medium,,EP03 - Generación & Administración de Códigos QR,EP03
US09,Story,[US09] Validación y Ajuste Manual de Ficha Gastronómica,"Como dueño de restaurante, deseo revisar, editar y confirmar los textos, ingredientes y alérgenos sugeridos por la IA antes de que el plato sea visible en la carta digital.

Criterios de Aceptación:
**Scenario 1: Aprobación con modificaciones**
**Given** que la IA sugirió la ficha técnica del plato,
**When** el administrador corrige un ingrediente particular y pulsa confirmar publicación,
**Then** los datos editados reemplazan la sugerencia automática y el plato queda registrado oficialmente en el catálogo del restaurante.

**Scenario 2: Cancelación de registro**
**Given** que el usuario decide no continuar con el alta del plato analizado,
**When** cancela la operación antes de guardar,
**Then** el borrador temporal se descarta y el catálogo se mantiene sin alteraciones.","**Scenario 1: Aprobación con modificaciones**
**Given** que la IA sugirió la ficha técnica del plato,
**When** el administrador corrige un ingrediente particular y pulsa confirmar publicación,
**Then** los datos editados reemplazan la sugerencia automática y el plato queda registrado oficialmente en el catálogo del restaurante.

**Scenario 2: Cancelación de registro**
**Given** que el usuario decide no continuar con el alta del plato analizado,
**When** cancela la operación antes de guardar,
**Then** el borrador temporal se descarta y el catálogo se mantiene sin alteraciones.",3,Medium,,EP02 - Catálogo Gastronómico & Análisis con IA,EP02
US16,Story,[US16] Comparación Visual de Dimensiones del Plato en Mesa,"Como comensal, deseo mover, rotar e inspeccionar la proyección 3D del plato junto a cubiertos o vasos reales sobre mi mesa para constatar su volumen y porción real.

Criterios de Aceptación:
**Scenario 1: Manipulación de gestos táctiles en AR**
**Given** que el modelo 3D se encuentra proyectado en la mesa en modo Realidad Aumentada,
**When** el comensal realiza gestos táctiles de rotación con sus dedos sobre la pantalla,
**Then** el modelo gira sobre su eje vertical manteniendo estrictamente su escala métrica calibrada en relación con el entorno real.

**Scenario 2: Bloqueo de escalado para fidelidad de porción**
**Given** que el comensal intenta agrandar el plato con gesto de pellizco en modo AR,
**When** interactúa con el modelo,
**Then** el sistema restringe el cambio de tamaño libre y emite un mensaje indicando que el plato se mantiene en escala física 1:1 para garantizar la fidelidad de la porción servida.","**Scenario 1: Manipulación de gestos táctiles en AR**
**Given** que el modelo 3D se encuentra proyectado en la mesa en modo Realidad Aumentada,
**When** el comensal realiza gestos táctiles de rotación con sus dedos sobre la pantalla,
**Then** el modelo gira sobre su eje vertical manteniendo estrictamente su escala métrica calibrada en relación con el entorno real.

**Scenario 2: Bloqueo de escalado para fidelidad de porción**
**Given** que el comensal intenta agrandar el plato con gesto de pellizco en modo AR,
**When** interactúa con el modelo,
**Then** el sistema restringe el cambio de tamaño libre y emite un mensaje indicando que el plato se mantiene en escala física 1:1 para garantizar la fidelidad de la porción servida.",3,Medium,,EP04 - Experiencia WebAR para Comensales,EP04
US15,Story,[US15] Filtrado de Platos por Alérgenos y Preferencias Dietarias,"Como comensal con requerimientos dietarios o alergias alimentarias, deseo filtrar los platos de la carta excluyendo alérgenos específicos para encontrar opciones seguras para mi consumo.

Criterios de Aceptación:
**Scenario 1: Aplicación de filtros de seguridad alimentaria**
**Given** que el comensal ingresa a la carta digital de su mesa,
**When** marca los filtros de exclusión (ej. ""Sin Gluten"" y ""Sin Mariscos""),
**Then** la lista de platos se actualiza dinámicamente mostrando únicamente las preparaciones certificadas libres de dichos alérgenos.

**Scenario 2: Búsqueda sin resultados disponibles**
**Given** que la combinación de filtros seleccionada por el comensal no coincide con ningún plato del menú,
**When** se aplican las restricciones,
**Then** el sistema informa que no hay platos disponibles bajo ese criterio estricto y sugiere consultar al personal del restaurante sobre adaptaciones de cocina.","**Scenario 1: Aplicación de filtros de seguridad alimentaria**
**Given** que el comensal ingresa a la carta digital de su mesa,
**When** marca los filtros de exclusión (ej. ""Sin Gluten"" y ""Sin Mariscos""),
**Then** la lista de platos se actualiza dinámicamente mostrando únicamente las preparaciones certificadas libres de dichos alérgenos.

**Scenario 2: Búsqueda sin resultados disponibles**
**Given** que la combinación de filtros seleccionada por el comensal no coincide con ningún plato del menú,
**When** se aplican las restricciones,
**Then** el sistema informa que no hay platos disponibles bajo ese criterio estricto y sugiere consultar al personal del restaurante sobre adaptaciones de cocina.",3,Medium,,EP05 - Información Nutricional & Alérgenos,EP05
US17,Story,[US17] Consulta de Ingredientes y Advertencias de Contaminación Cruzada,"Como comensal alérgico, deseo acceder a la ficha informativa detallada del plato para revisar posibles trazas de ingredientes y notas de advertencia de cocina.

Criterios de Aceptación:
**Scenario 1: Despliegue de ficha de ingredientes**
**Given** que el comensal visualiza la ficha de un plato en la carta digital,
**When** expande la sección de información de alérgenos e ingredientes,
**Then** se despliegan las etiquetas destacadas con iconos representativos de cada alérgeno y la advertencia sobre buenas prácticas de manipulación del restaurante.

**Scenario 2: Certificación de plato vegetariano/vegano**
**Given** que un plato cuenta con certificación vegana en su registro,
**When** el comensal inspecciona la ficha,
**Then** se muestra el distintivo correspondiente y el desglose de sustitutos de origen vegetal utilizados.","**Scenario 1: Despliegue de ficha de ingredientes**
**Given** que el comensal visualiza la ficha de un plato en la carta digital,
**When** expande la sección de información de alérgenos e ingredientes,
**Then** se despliegan las etiquetas destacadas con iconos representativos de cada alérgeno y la advertencia sobre buenas prácticas de manipulación del restaurante.

**Scenario 2: Certificación de plato vegetariano/vegano**
**Given** que un plato cuenta con certificación vegana en su registro,
**When** el comensal inspecciona la ficha,
**Then** se muestra el distintivo correspondiente y el desglose de sustitutos de origen vegetal utilizados.",2,Medium,,EP05 - Información Nutricional & Alérgenos,EP05
